Sample	Housing	Experiment	Genotype	Tissue	Infection	Cage	Housing_Infection
AJ41c_10_10b	Clean	Experiment 1	B6	Cecum	Infected	C4_I	Clean_Infected
AJ41c_6_10b	Clean	Experiment 1	B6	Cecum	Infected	C4_I	Clean_Infected
AJ41c_7_10b	Clean	Experiment 1	B6	Cecum	Infected	C4_I	Clean_Infected
AJ41c_8_10b	Clean	Experiment 1	B6	Cecum	Infected	C4_I	Clean_Infected
AJ41c_1_10b	Clean	Experiment 1	B6	Cecum	Uninfected	C1_U	Clean_Uninfected
AJ41c_2_10b	Clean	Experiment 1	B6	Cecum	Uninfected	C1_U	Clean_Uninfected
AJ41c_3_10b	Clean	Experiment 1	B6	Cecum	Uninfected	C1_U	Clean_Uninfected
AJ41c_4_10b	Clean	Experiment 1	B6	Cecum	Uninfected	C1_U	Clean_Uninfected
AJ41c_5_10b	Clean	Experiment 1	B6	Cecum	Uninfected	C1_U	Clean_Uninfected
AJ41_16_10b	Dirty	Experiment 1	B6	Cecum	Infected	D1_B	Dirty_Infected
AJ41_17_10b	Dirty	Experiment 1	B6	Cecum	Infected	D1_B	Dirty_Infected
AJ41_18_10b	Dirty	Experiment 1	B6	Cecum	Infected	D1_B	Dirty_Infected
AJ41_19_10b	Dirty	Experiment 1	B6	Cecum	Infected	D1_B	Dirty_Infected
AJ41_25_10b	Dirty	Experiment 1	B6	Cecum	Infected	D2_B	Dirty_Infected
AJ41_26_10b	Dirty	Experiment 1	B6	Cecum	Infected	D2_B	Dirty_Infected
AJ41_27_10b	Dirty	Experiment 1	B6	Cecum	Infected	D2_B	Dirty_Infected
AJ41_28_10b	Dirty	Experiment 1	B6	Cecum	Infected	D2_B	Dirty_Infected
AJ41_12_10b	Dirty	Experiment 1	B6	Cecum	Uninfected	D1_B	Dirty_Uninfected
AJ41_13_10b	Dirty	Experiment 1	B6	Cecum	Uninfected	D1_B	Dirty_Uninfected
AJ41_14_10b	Dirty	Experiment 1	B6	Cecum	Uninfected	D1_B	Dirty_Uninfected
AJ41_15_10b	Dirty	Experiment 1	B6	Cecum	Uninfected	D1_B	Dirty_Uninfected
AJ41_21_10b	Dirty	Experiment 1	B6	Cecum	Uninfected	D2_B	Dirty_Uninfected
AJ41_22_10b	Dirty	Experiment 1	B6	Cecum	Uninfected	D2_B	Dirty_Uninfected
AJ41_23_10b	Dirty	Experiment 1	B6	Cecum	Uninfected	D2_B	Dirty_Uninfected
AJ41_24_10b	Dirty	Experiment 1	B6	Cecum	Uninfected	D2_B	Dirty_Uninfected
AJ41_11_10b	Pet store	Experiment 1	Pet store	Cecum	Uninfected	D1_B	Dirty_Uninfected
AJ41_20_10b	Pet store	Experiment 1	Pet store	Cecum	Uninfected	D2_B	Dirty_Uninfected
AJ41c_10_10a	Clean	Experiment 1	B6	Large	Infected	C4_I	Clean_Infected
AJ41c_6_10a	Clean	Experiment 1	B6	Large	Infected	C4_I	Clean_Infected
AJ41c_7_10a	Clean	Experiment 1	B6	Large	Infected	C4_I	Clean_Infected
AJ41c_8_10a	Clean	Experiment 1	B6	Large	Infected	C4_I	Clean_Infected
AJ41c_9_10a	Clean	Experiment 1	B6	Large	Infected	C4_I	Clean_Infected
AJ41c_1_10a	Clean	Experiment 1	B6	Large	Uninfected	C1_U	Clean_Uninfected
AJ41c_2_10a	Clean	Experiment 1	B6	Large	Uninfected	C1_U	Clean_Uninfected
AJ41c_3_10a	Clean	Experiment 1	B6	Large	Uninfected	C1_U	Clean_Uninfected
AJ41c_4_10a	Clean	Experiment 1	B6	Large	Uninfected	C1_U	Clean_Uninfected
AJ41c_5_10a	Clean	Experiment 1	B6	Large	Uninfected	C1_U	Clean_Uninfected
AJ41_16_10a	Dirty	Experiment 1	B6	Large	Infected	D1_B	Dirty_Infected
AJ41_17_10a	Dirty	Experiment 1	B6	Large	Infected	D1_B	Dirty_Infected
AJ41_18_10a	Dirty	Experiment 1	B6	Large	Infected	D1_B	Dirty_Infected
AJ41_19_10a	Dirty	Experiment 1	B6	Large	Infected	D1_B	Dirty_Infected
AJ41_25_10a	Dirty	Experiment 1	B6	Large	Infected	D2_B	Dirty_Infected
AJ41_26_10a	Dirty	Experiment 1	B6	Large	Infected	D2_B	Dirty_Infected
AJ41_27_10a	Dirty	Experiment 1	B6	Large	Infected	D2_B	Dirty_Infected
AJ41_28_10a	Dirty	Experiment 1	B6	Large	Infected	D2_B	Dirty_Infected
AJ41_12_10a	Dirty	Experiment 1	B6	Large	Uninfected	D1_B	Dirty_Uninfected
